,陳情內容,回覆單位,問題類別,張貼日期,修改日期,人氣指數,答覆內容
342,因為增加戒菸服務，會不會排擠到全民健康保險資源?,高雄市政府衛生局,衛生,20130307,20151221,1263,本戒菸服務費用由菸害防制及衛生保健基金之收入來支應，取之於吸菸者，用之於戒菸者，切合徵收目的，不會排擠到全民健保的資源。戒菸可以預防心血管疾病、呼吸道疾病與癌症。戒菸1年，罹患冠狀動脈心臟病機率減少一半；戒菸5年，中風機率甚至可降低至與不吸菸者一樣；戒菸10年，死於肺癌的風險降低一半；戒菸15年，得心臟病的風險降至與一般非吸菸者相同。戒菸服務，不僅造福個人與家庭，對於節省醫療開銷與提高社會生產力及社會公平正義，都非常有意義。
343,關於特殊境遇家庭子女學費補助？,高雄市政府教育局,教育,20111221,20111221,1259,特殊境遇家庭之子女就讀高級中等學校者，依本市教育局每學期公布之學雜費收費標準，減免百分之六十學雜費。前項減免範圍，不包括延長修業年限、暑期補（重）修、輔系、雙主修、教育學程之學雜費、學分費、學分學雜費。
344,如何得知每年開設托育(保母)人員專業訓練課程開課時間和報名方式，以及如何報考保母單一級技術士證照(保母丙級證照)?,高雄市政府社會局,社會,20110128,20161215,1259,一、托育(保母)人員專業訓練課程分補助班及自費班：(一)補助班：由勞動部勞動力發展署高屏澎東分署統一辦理並遴選訓練單位，詳細開課情形及課程可逕洽勞動部勞動力發展署高屏澎東分署(電話：07-8210171轉2310)。(二)自費班：由社會局遴選訓練單位，詳細開課情形及課程可逕洽社會局兒少科：07：3368333轉2451-2454。二、另有關保母單一級技術士證照(原保母丙級技術士證照)報考事宜，係由勞動部勞動力發展署技能檢定中心委由各即測即評即發證單位承辦。報考保母單一級技術士證照資格：(一)高級中等以上學校幼兒保育、家政、護理相關科畢業。(二)修畢「兒童及少年福利機構專業人員資格訓練課程」之托育(保母)人員、教保人員或保育人員專業訓練課程，並領有主管機關發給之證明書者。三、承辦單位：勞動部勞動力發展署技能檢定中心(電話：04-22599545)、正修科技大學(電話：07-7358800#3702)。
345,不動產成交案件實際資訊登錄申報方式為何?(地價業務-12),高雄市政府地政局,地政,20151119,20161202,1255,一、網際網路申報：申報人可利用自然人憑證、工商憑證至「地政線上申辦系統」（網址：https://clir.land.moi.gov.tw/cap/）申報。二、臨櫃申報：申報人可至本市任一地政事務所申報收件辦理。三、預申報(買賣案件)：以自然人或工商憑證至地政線上申辦系統辦理預為申報，並將申報書紙本與登記申請書併同送件辦理不動產買賣登記。
346,不動產估價師遷移原開業縣市應具備哪些文件？(地價業務-9),高雄市政府地政局,地政,20110107,20111229,1254,不動產估價師事務所遷移於核准登記開業之直轄市或縣（市）以外地區時，應檢附原開業證書向原登記之主管機關申請核轉遷移登記。並應具備下列文件向原登記主管機關申請：1.申請書2.原開業證書3.身分證明文件影本4.本人最近一年內二吋半身照片二張
347,那些案件需要辦理不動產成交案件實際資訊申報登錄?(地價業務-8),高雄市政府地政局,地政,20151119,20151119,1253,依平均地權條例、地政士法及不動產經紀業管理條例規定，不動產成交案件係指辦竣所有權移轉登記之土地或建物買賣案件、委託不動產經紀業代銷未辦竣建物所有權第一次登記之預售屋及新成屋買賣案件、不動產經紀業居間成交之不動產租賃案件。
348,何時辦理不動產成交案件實際資訊申報登錄?(地價業務-10),高雄市政府地政局,地政,20151119,20151119,1253,一、買賣案件：權利人(買方)、地政士或不動產經紀業者應於買賣案件辦竣所有權移轉登記30日內，向主管機關申報登錄不動產成交案件實際資訊。二、租賃及代銷案件：經紀業居間成交之租賃案件或受委託代銷之預售屋案件，在簽訂租賃契約書後30日內、委託代銷契約屆滿或終止30日內，應向主管機關申報登錄不動產成交案件實際資訊。
349,不動產成交案件實際資訊登錄申報義務人為何?(地價業務-11),高雄市政府地政局,地政,20151119,20151119,1253,依不動產成交案件實際資訊申報登錄及查詢收費辦法第二條規定，不動產買賣案件應由權利人申報登錄土地及建物成交案件之實際資訊，權利人有數人時，得會同申報或協議由一人申報。但有下列情形之一者，權利人免予申報：一、買賣案件委託地政士申請登記者，應由地政士申報登錄。二、買賣案件委由不動產經紀業（以下簡稱經紀業）居間或代理成交而未委託地政士申請登記者，應由經紀業申報登錄。前項第一款買賣案件委由經紀業居間或代理成交者，經紀業應提供不動產說明書相關資料供地政士申報登錄，經紀業未提供者，應由權利人提供；買賣案件未委由經紀業居間或代理成交者，權利人應提供交易相關資料供地政士申報登錄。不動產租賃案件委由經紀業居間或代理成交者，應由經紀業申報登錄。起造人或建築業委託代銷之案件，應由經營代銷業務之經紀業申報登錄。第一項至第三項不動產成交案件由數經紀業居間或代理者，應由權利人或承租人委託之經紀業申報登錄。
350,在網路上刊登違規產品廣告被罰，已向原處分機關提起訴願被駁回，還有那些維護權益的管道？,高雄市政府法制局,法制,20110106,20121226,1252,依據訴願法第90條及行政訴訟法第106條規定，訴願人得於收受訴願決定書之次日起2個月內向高等行政法院或地方法院行政訴訟庭提起行政訴訟。
351,車輛被拖吊如何申訴？,高雄市政府交通局,交通,20110112,20141217,1252,書面申訴：檢附下列文件於拖吊場現場辦理，亦可傳真(07-2299842)、郵寄或親至本府交通局停車管理中心（高雄市新興區中正3路25號3樓）辦理。1.申訴書（請逕向拖吊場收費窗口索取或自行撰寫不拘格式）註明聯絡人姓名、地址、車牌號碼及不服拖吊原因。2.若已領車請檢附拖吊場領車繳費收據影本（正本請妥為保存）。3.相關舉證資料文件。
352,地主與佃農因三七五租約發生糾紛，應如何解決？(地權-耕地租佃業務-4),高雄市政府地政局,地政,20110107,20111229,1252,地主（出租人）與佃農（承租人）間因耕地租賃所發生權利義務糾紛，可檢附有關證件逕向區公所民政課三七五租約登記之承辦人洽詢，或向耕地所在地區公所耕地租佃委員會申請耕地租佃爭議調解。
353,請問申請本市經濟弱勢市民醫療費用補助資格為何？申請時須檢具那些資料？,高雄市政府社會局,社會,20110121,20161219,1252,一、申請資格 （一）本市列冊之低收入戶。（二）本市列冊之中低收入戶。（三）應於出院或醫療行為發生後3個月內提出申請。（四）醫療補助應扣除已領取健保以外之其他保險給付。二、補助標準  (一)本市列冊之低收入戶，其醫療費用扣除不補助項目後全額補助，每人每年以15萬元為限。 (二)本市列冊之中低收入戶，其醫療費用超過3萬元部分，扣除不補助項目後補助80%，每人每年以15萬元為限。 (三)醫療費用補助不含義肢、義眼、義齒、配鏡、鑲牙、洗牙、齒列矯正、整容、整形、病人運輸、證明書、指定藥品或材料費、衛材費、自購藥品或器材、掛號費、疾病預防、非因疾病而施行之手術或節育結紮之費用、膳食費、看護費、指定病房費、屬健保給付而選擇自費醫療之費用及其他與醫療無直接相關之費用等，但就醫期間醫療院所無健保病床且須立即住院治療者，其自付病房費得予補助，並以每人每日新臺幣800元為限。三、應備文件 （一）申請書。（二）低收入戶、中低收入戶證明。（三）全民健康保險卡正面影本、身分證正反面影本。（四）醫療院所診斷證明書正本（須載明確有醫療之必要及載明入出院或門診日期）。（五）金融機構存摺封面影本及領款收據。（六）健保特約醫療院所醫療費用收據正本或繳費通知單正本(直接辦理撥付醫院)。（七）其他證明：授權同意書、委任書、領款收據、切結書、受託代辦人身分證正反面影本等。承辦單位：戶籍地區公所社會(經)課(初審)洽詢電話：社會救助科3368333轉2060，3373372-5
354,如何申請漁筏設定、註銷抵押權登記?,高雄市政府海洋局,海洋,20110110,20161114,1251,申請人應備證件一、申請書乙份。二、契約書或信託收據。（一）設定抵押權登記：應附經法院或民間公證人公證之抵押契約並附副本或複印本一份。（二）附條件買賣登記：應附經法院或民間公證人公證之條件買賣契約並附副本或複印本一份。（三）信託占有登記：應附信託收據並附副本或複印本一份。三、漁業執照影本。四、漁筏執照正、影本各乙份（正本加蓋戮記後退還）。處理期限四天承辦單位漁業行政科受理方式由秘書室統一收發申請方式1.親自到場辦理2.委託辦理3.郵寄
355,請問如何申請救護服務證明？,高雄市政府消防局,消防,20110127,20140107,1249,有關民眾申請救護服務證流程如下：一、救護服務證明申請流程：由當事人親自申請（攜帶國民身分證、印章至本局緊急救護科或各分隊即可受理申請），如本人無法親自申請時，可由家屬持書面委託書（授權書）代為申請，受委託人應攜帶國民身分證、印章及委託人國民身分證、印章即可申請，受理當天即可核發。二、如當事人己死亡者，得由利害關係人檢附戶口名簿等相關證明文件申請。承辦單位：消防局緊急救護科聯絡電話：07-8128111轉3155。
356,個人圖書借閱證如何辦理？,高雄市政府文化局,文化,20110112,20170428,1248,申請本館借閱證，應分別檢具下列證件正本，填寫申請書辦理。一、凡中華民國國民應持個人身份證、駕駛執照或戶口名簿。二、大陸人士應持居留證明文件。三、外籍人士應持居留證或使館證明文件。申請人無法親自申請借閱證時，得出具委託書並檢具申請人及代理人身份證明文件，委託代辦人辦理。每人限辦乙張借閱證，通用本市各分館及高雄文學館、市立空中大學圖書館(民眾部)、社會局婦幼青少年館圖書館、旗山社福圖書館，每三年核驗身份證件乙次。持身分證申請新辦、更換及補發個人借閱證者，得辦理身分證借閱證，以身分證做為個人借閱證使用，不另發證。未滿十四歲之兒童、青少年，無國民身分證者請持戶口名簿正本，由家長或法定代理人檢具身分證明文件正本代為申請。
357,我的土地跟房子，將來會不會被拆（牴觸都市計畫公共設施用地）？,高雄市政府都市發展局,都發,20110112,20151203,1248,1.都市計畫基於合理的規劃，會將都市內的土地劃分為各種土地使用分區及各類的公共設施用地，如道路、學校、公園…等。因此，要知道您的房子及土地的座落屬性，才能知道是否有牴觸都市計畫，故必須先查閱都市計畫。2.購買建物時先查詢其都市計畫土地使用分區，以避免因公共設施用地之開闢而影響權益。
358,役男體檢後，如何申請改判體位複檢？,(已註銷0101)高雄市政府兵役局,兵役,20111103,20160122,1248,役男經徵兵檢查後，對判定之體位認為有疑義或有新發生之傷病者，得於徵集入營前，檢具醫療機構出具達改判體位標準之診斷證明書，依下列方式之一申請改判體位：（一）公費複檢：檢具達改判體位標準之診斷證明書，向戶籍地區公所兵役單位申請改判體位複檢，准予複檢者，由市政府指定至複檢醫院受檢或受理役男申請至離寄居地縣（市）最近之複檢醫院受檢。（二）自費複檢：檢具達改判體位標準之診斷證明書，向戶籍地區公所兵役單位申請改判體位複檢，准予複檢者，再自行持同意書至複檢醫院受檢。承辦單位：役政科承辦人員：李德珍電話：3368333轉2706網址：http://mildp.kcg.gov.tw/qua.php
359,遭受霸凌應如何求助？高雄市對於霸凌之發生有何通報流程及相關防範措施？,高雄市政府教育局,教育,20111227,20151225,1248,一、可向學校學務處或本局反霸凌申訴專線0800-775-885(欺欺我-幫幫我)24小時免付費專線電話及反霸凌申訴案件之電子信箱sos@mail.kh.edu.tw通報。二、本局透過教育宣導及編印防範校園霸凌工作手冊，供學校人員參考推動相關事宜。相關資料及法令可至高雄市政府教育局反毒反霸凌反黑幫防詐騙宣導網站下載參考。三、當學校發生校園事件時確定是否為霸凌案則由學校組成的霸凌因應小組會議決議，並執行校安通報。四、學校如有霸凌案件，由輔導室成立輔導小組就霸凌者、受凌者及旁觀者擬定輔導計畫，明列輔導內容、分工、期程等，進行妥善輔導。五、策進行為：（一）行政面：1、學校擬定「防制校園霸凌行動計畫」，規定學校人員(導師/教師/行政人員等)之權責及分工機制。2、加強暴力傾向學生及霸凌個案輔導。3、設置各校單一通報窗口，並擬定保密、保護機制。（二）教學面：舉辦暴力霸凌主題之各式活動，配合正規課程，進行反霸凌課程教學，除讓學生了解霸凌的定義、發生及預防外，並搭配活潑生動的活動設計，讓學生從活動中建立正確的霸凌預防觀念。（三）教育宣導：1、教職員在職進修訓練。2、校園安全座談會。3、親子教育與社區宣導。4、友善校園週宣導。5、透過反霸凌海報、標語、廣播、申訴管導等宣導，營造校園無霸凌環境及氣氛。（四）環境面：1、校園安全環境檢測。2、校園無暴力霸凌環境之營造。建立校園安全環境檢測機制，定期或不定期檢測校園環境，並針對危險校區，提出改善方案。
360,申請使用地變更編定應如何辦理？(地用業務-8),高雄市政府地政局,地政,20110114,20140106,1247,依非都市土地使用管制規則第28條規定，應檢附下列文件向土地所在地直轄市或縣（市）政府申請核准，並依規定繳納規費。 (一)非都市土地變更編定申請書。 (二)興辦事業計畫核准文件。 (三)申請變更編定同意書。 (四)土地使用計畫配置圖及位置圖。 (五)其他有關文件。
361,不動產估價師法第五條所稱「實際從事估價業務達二年以上者」為何？(地價業務-7),高雄市政府地政局,地政,20110107,20111229,1247,1.在開業不動產估價師事務所實際從事估價工作累計二年以上者。2.在機關、公營機構或登記有案之民營機構實際從事估價工作累計二年以上者。3.符合本法第44條第2項得應不動產估價師特種考試資格者。
362,如何申請漁船幹部船員代理高一階？,高雄市政府海洋局,海洋,20110111,20161116,1244,申請人應備證件1.漁船幹部船員代理高一階申請書1份。2.漁船漁業執照影本1份。3.漁船幹部船員執業證書正、影本各乙份（正本驗後發回）4.漁船船員手冊正本1份(已攜出港者，檢附船員出港或搭機證明影本)。5.相關專業訓練合格文件影本（如係申請代理長度12公尺以上未滿24公尺航行無限水域之漁船幹部船員，須附）。處理期限7天承辦單位1.前鎮漁港管理站2.興達漁港管理站3.蚵子寮漁港管理站4.鼓山漁港管理站5.旗津漁港管理站6.臨海新村漁港管理站7.中芸漁港管理站8.漁業行政科受理方式櫃台直接受理統一收發管制申請方式1.親自到場辦理2.委託辦理3.郵寄備註欄低職級幹部船員代理高一職級幹部船員職務，其代理期間累計不得超過3年。
363,漁船過戶應如何辦理漁業設立登記?,高雄市政府海洋局,海洋,20110110,20161114,1242,申請人應備證件一、申請書一份。二、申請人身分證明文件影本一份。三、原船主漁業執照註銷申請書。四、原領漁業執照。五、航政機關核發相關證明文件影本。六、相片（漁船四張(左舷、右舷各兩張並註明拍攝日期)、漁筏三張）。七、漁筏另附買賣契約書正本、印鑑證明及漁筏執照正本。八、二十噸以上漁船另須檢附有效電台執照影本。 處理期限 四天 承辦單位 漁業行政科 受理方式 由秘書室統一收發 申請方式1.親自到場辦理2.委託辦理3.郵寄
364,我的車子停放在停車格上，被警察以違規為由拖吊至保管場，但領車時發現車子因拖吊不當受損，可以請求國家賠償嗎？,高雄市政府法制局,法制,20110106,20121226,1241,依據國家賠償法第2條第2項規定，公務員於執行職務行使公權力時，因故意或重大過失不法侵害人民自由或權利者，國家應負損害賠償責任。公務員怠於執行職務，致人民自由或權利遭受損害者，亦同。依據此一規定，請求權人得主張警察局所屬公務員執行拖吊業務不法侵害權利為由，請求國家賠償。
365,請問因交通違規被告發，應向何單位辦理申訴？,高雄市政府警察局,警政,20110127,20110127,1239,當事人需向該案應到繳之裁決所或監理機關辦理申訴。
366,志工如何申領志願服務榮譽卡？,高雄市政府社會局,社會,20110124,20161215,1239,答：一、依據：內政部90.04.24台（90）內中社字第90747750號「志工申請志願服務榮譽卡作業規定」二、申請資格：（一）首次申請者：志工服務年資滿3年，並且服務時數達300小時以上者。（二）換發者：志願服務榮譽卡使用期限為3年，使用期限屆滿前1個月，如志工仍持續服務中，舊卡所據之服務年資達3年且服務時數累計達300小時以上之申請標準，即可由所屬運用單位提前於原卡使用期限屆滿前1個月提出申請，單次申請3年內服務時數超過300小時以上，其3年所餘之未列計時數無法保留至下回申請使用。三、申請及發放時間：每月1日至15日申請者，當月下旬發放榮譽卡；當月16日至31日申請者，次月上旬發放榮譽卡。 四、申請程序及相關規定：（一）如為高雄市社會福利類志願服務團隊所屬志工，由該志願服務運用單位彙集申請資料，並填具「高雄市政府受理『志願服務榮譽卡』申請表」及「高雄市志願服務人員申請『志願服務榮譽卡』名冊」、志願服務紀錄冊影本（請以A4紙影印勿裁切，並按名冊順序裝訂），備文送社會局申請。（二）非社會福利類志願服務運用單位，應將志願服務榮譽卡申請資料送交該志願服務目的事業主管機關初審彙整後，備文送社會局申請。◎相關問題請上高雄市社會局志願服務資源中心網站：http://www.kvc.org.tw/查詢或洽高雄市政府社會局社會工作科，電話：07-3373381
367,請問公私立高中職暑期或課後輔導是否可以強迫收費？如果有這現象應如何申訴？,高雄市政府教育局,教育,20111221,20170109,1236,課後輔導係由學生自由參加，不得強迫，學習輔導活動需收費者，應事先取得家長同意書，參與者付費。若學校違反此規定，請電洽本局高中職教育科查處，電話：7995678轉3024。
368,有關地方型SBIR計畫中，計畫補助之期末款於計畫期末結案後才撥付，是否可能產生期末款無法完全核銷的問題？,高雄市政府經濟發展局,經發,20110113,20151203,1235,核定計畫採2次付款，期初支付補助款50％，俟期末提出結案報告審查通過後，再支付其餘款項。期末款將視實際動支情形進行撥付，係由廠商檢附單據請款，因此期末款佔總補助款之比例非一定為50%。在期末款撥付前，企業需先墊支款項。詳細資訊請洽詢承辦單位本府經濟發展局產業服務科施小姐，洽詢電話:07-3368333*3160
369,申請「修繕住宅貸款利息補貼」可修繕之項目為何？,高雄市政府都市發展局,都發,20131114,20151204,1234,（一）申請修繕的項目如下：    1.屋頂防水、排水及隔熱。    2.外牆防水及面材整修。    3.衛生設備。    4.一般照明設備。    5.無障礙設施設備。    6.分間牆、天花板及地板整修。    7.給水、排水管線。    8.電氣管線。    9.燃氣設備之供氣、排煙管線。   10.空氣調節及通風設備之風管、風口及電氣管 線。（二）前項修繕之設施設備項目，不含公寓大廈之共用部分、約定專用部分及約定共用部分。（三）申請修繕之設施設備項目不得影響建築物結構安全，或違反建築法、消防法等公共安全相關規定。
370,有關在國外或大陸地區就學高中及普通中學以下的學歷證明應如何辦理，才能轉入學校？,高雄市政府教育局,教育,20111221,20170109,1233,一、就讀非大陸地區之學校者，可持國外之相關學歷證明，經我國駐外單位驗證。二、設籍高雄市市民欲辦理大陸高級中等以下學校學歷認證須檢附以下證件並攜帶印章至本局辦理申請：(一) 經大陸地區公證處公證屬實之學歷證件及公證書(需註明修業年限)。(二) 財團法人海峽交流基金會證明。(三) 國民身分證或居留證。（以上須正本並檢附影本乙份，正本驗後發還）。三、大陸學歷認證本局承辦科室：高中職—高中職教育科(e-mail:saul30139@gmail.com)、國中—國中教育科(分機：3032)、國小--國小教育科(分機：3057)。
371,如果孩子目前在大陸唸國中二年級，明年想回來台灣，可否直接參加國中教育會考？,高雄市政府教育局,教育,20111221,20160114,1230,學生如在大陸國中畢業且欲報考國中教育會考，應檢附經設籍縣市之地方主管教育行政機關認定之證明文件、學歷證件影本及歷年成績證明影本，於當年度教育會考簡章規範之報名日期內至主辦學校辦理個別報名手續。學生可持下列文件至設籍縣市之地方主管教育行政機關申請證明文件：一、大陸地區公證處公證屬實之學歷證件及歷年成績證明及公證書。二、財團法人海峽交流基金會證明。三、國民身分證（無身分證者提供在臺灣地區定居證、戶籍謄本、居留證之一即可）。
372,請問如何申請夜間工作家庭育兒補助？,高雄市政府社會局,社會,20140128,20161215,1229,"一、補助條件、收托時段及標準：(一)補助條件：幼兒及其父母親(或監護人)至少一方設籍並實際居住本市，或尚未取得本國籍之單親新移民家庭但其幼兒設籍本市者符合下列條件之一，致無法照顧家中未滿6歲幼兒，而需送請領有居家式托育服務登記證書之托育人員(不含親屬保母及與受托幼兒為三親等關係)。1.幼兒父母親雙方(或監護人)夜間固定(輪班)工作者。2.幼兒父母親一方(或監護人)夜間固定(輪班)工作者，且另一方因中重度身心障礙、或服義務役、或處 1 年以上之徒刑且執行中、或外地工作、或罹患重大疾病或其他經評估之特殊因素。3.單親一方從事夜間固定(輪班)工作者。4.幼兒父母親雙方單親一方夜間持續固定加班者。(二)收托時段：晚上8時以後父母(或監護人) 仍因工作需送托幼兒，且連續送托逾(含)8小時以上。(三)補助標準：1.送托幼兒之父母(或監護人)經稅捐稽徵機關核定之最近1年綜合所得總額合計未達申報標準或綜合所得稅稅率12%以下者，依收托幼兒人數，補助托育人員每收托1名幼兒每月最高2,000元。2.如托育天數未達7日則不予補助，達7日(含)以上至14日者補助1,000元，超過15日(含)以上者以1個月計。二、應備文件：申請人為送托幼兒之父母(或監護人)，第一次申請、新年度開始或申請資格異動均須重新提送審查(應備文件如為影本，須加註與正本相符，並蓋私章)，檢附文件資料說明如下：(一)申請表。(二)幼兒及申請人身分證明文件。(三)與托育人員簽訂之托育契約書。(四)家庭所得文件：1、0至未滿2歲幼兒之父母(或監護人)申請人免附證明文件，由本局透過托育人員登記管理資訊系統查調。2、 2歲至未滿6歲幼兒之父母(或監護人)，提具向稅捐稽徵機關申請已核定最近1年度綜合所稅稅率，未達申報標準或綜合所得稅稅率12%(含)以下者證明文件。(五)夜間固定(輪班)或持續加班工作證明文件：受僱者檢附3個月內由任職單位開立夜間在職、輪班證明或持續於夜間加班之證明文件。(六)其他證明文件。三、受理單位：各居家托育服務中心◎第一區：社團法人高雄市第一褓姆協會承辦，轄區：鳳山區，電話：07-7657367、07-7657368。◎第二區：美和學校財團法人美和科技大學承辦，轄區：三民西區、鼓山、旗津、前金、鹽埕、大寮、大樹、大社、仁武、鳥松、林園等區，電話：07-7836006。第二據點電話：07-2817590。◎第三區：財團法人伊甸社會福利基金會承辦，轄區：美濃、旗山、內門、六龜、甲仙、杉林、茂林、桃源、那瑪夏等區，電話：07-6614370。◎第四區：樹德科技大學承辦，第一轄區：三民東區、苓雅區，電話：07-7137686、07-7137612。電話：07-3850257。第二轄區：茄萣、路竹、燕巢、永安、彌陀、湖內、阿蓮、田寮、岡山等區，電話：07-6158185。◎第五區：樹德科技大學承辦，轄區：楠梓、左營、橋頭、梓官等區，電話： 07-5882855。◎第六區：美和學校財團法人美和科技大學承辦，轄區：小港、前鎮、新興等區，電話：07-2373487。四、承辦單位：社會局兒少科電話：336-8333轉2495-2498。"
373,如何申請新建造漁船許可?,高雄市政府海洋局,海洋,20110110,20161114,1229,申請人應備證件一、申請書一份。二、申請人身分證明文件影本一份。三、漁船船圖(包括一般佈置圖、中央斷面圖、線圖)及施工說明書各三份(舢舨、漁筏及未滿十噸木殼船免附)。四、以汰建資格申請建造新船者，應檢附保留汰建資格核准函正本。如尚未註銷漁業執照辦妥保留汰建資格者，應另檢附申請保留汰建資格所應附之各項附件。五、承接他船汰建資格者，應附讓渡人之同意書正本及印鑑證明。六、以預定解體之漁船先行申請汰建新船者，應檢附預定解體漁船之有效漁業執照影本及保證在新船建造完成申請漁業執照前自行將汰舊漁船解體之切結書。七、申請裝設之主副機應符合省能源機型漁船引擎並附來源證明。 處理期限 四天 承辦單位 漁業行政科 受理方式 由秘書室統一收發 申請方式1.親自到場辦理2.委託辦理3.郵寄
374,季節流感疫苗疑似不良反應通報流程,高雄市政府衛生局,衛生,20100308,20151113,1228,季節流感疫苗是不活化疫苗，少數人接種後，注射部位可能發生疼痛、紅腫、發燒、倦怠的輕微反應，一般於接種後1-2天內恢復。若民眾接種疫苗後，發生疑似不良反應時，請直接通報轄區衛生所或高雄市政府衛生局疾病管制處（電話：7230513）、1922專線協助處理。
375,未辦理繼承登記之土地或建物移請國有財產署標售後，繼承人之權益將有何影響？(未辦繼承登記業務-13),高雄市政府地政局,地政,20110107,20141024,1227,（一）未辦繼承登記之土地或建物移請國有財產署標售後，繼承人即喪失占有該土地或建物之權利。（二）繼承人對標售之土地或建物就其使用範圍有優先購買權，但如其未於決標後10日內表示優先購買者，其優先購買權視為放棄。（三）對於已標售之土地或建物，繼承人得按其法定應繼分向國有財產署申請提領標售價金。但逾10年無繼承人申請提領該價款者，即歸屬國庫。（四）經5次標售而未標出之土地或建物，即登記為國有。自登記完畢之日起10年內，繼承人得檢附證明文件按該土地或建物第5次標售底價及其法定應繼分向國有財產署申請提領價金。
376,請問如何申請室外集會遊行？,高雄市政府警察局,警政,20110127,20111121,1226,一、	法令依據：集會遊行法。二、	申請手續：(一)	於舉行日之6日前向管轄警察分局申請(遊行若跨越兩個分局轄區時請向警察局保安科申請)。(二)	因不可預見之重大緊急事故，且非即刻舉行，無法達到目的者，不受6日前申請之限制。三、	繳驗証件：(一)	集會遊行申請書、代理人同意書、糾察員名冊、集會場地使用同意書。(二)	遊行須附遊行路線圖。四、	核辦天數：3日內以書面通知負責人。
377,目前國中升高中入學分發管道如何?相關的訊息應如何在網站上查詢?,高雄市政府教育局,教育,20111221,20160114,1225,ㄧ、目前升高中管道主要有免試入學(包含技優甄審入學、直升入學及免試分發入學)、特色招生等二類主要入學管道。免試入學係指學生依照性向及能力等條件，填寫入學志願後，依照高雄市免試入學作業要點辦理。超額比序採計項目及計分規定，可參考高雄區高級中等學校免試入學-超額比序採計說明。二、相關訊息可至教育部十二年國民基本教育網（http://12basic.edu.tw/）及高雄市十二年國民基本教育資訊網 (http://12basic.kh.edu.tw) 查詢。另五專招生資訊網站可至十二年國教五專招生資訊網 (http://me.moe.edu.tw/junior/) 查詢。
378,如何申辦英文版高中教師證書?,高雄市政府教育局,教育,20111221,20170109,1223,一、有關本市辦理英文版高中教師證書，以本局核發在案之教師證為限，應備證件如下：(一)英文版教師證明申請書一份（請至本局網站http://www.kh.edu.tw/法令文件下載/高中職教育科/教師證資料夾項下下載）。(二)最近一吋半照片兩張（一張浮貼、一張全貼）。(三)身分證（正、反面）影本乙份。(四)原教師證書影本乙份。（五）民國82年8月1日前核發之教師證書，應附自檢定合格後迄今之服務證明文件。二、現職教師須檢齊應備證件由服務學校函報本局辦理(非現職教師得自行申辦)。三、本局承辦科室為高中職教育科，電話7995678轉3028。
379,請問幼兒園合格教師證應該如何申請?,高雄市政府教育局,教育,20111221,20151225,1222,一、有關高級中等以下學校及幼兒園教師需依據教育部訂定「高級中等以下學校及幼兒園教師資格檢定辦法」參加檢定資格考，通過後才可向教育部申請合格教師證。二、教育部電話：02-77366666轉5662。
380,愛PASS文化高雄藝文月刊出刊日及何處可索取？,高雄市政府文化局,文化,20110112,20161230,1222,愛PASS文化高雄藝文月刊預訂每月月底出刊，次月初配送完畢，民眾可至文化場館（文化中心、圖書館、美術館、歷史博物館、音樂館、社教館、電影館、駁二藝術特區、科工館、衛武營藝術文化中心籌備處…等）、連鎖書店、中華電信服務中心、醫院、大專院校、百貨公司、大賣場、飯店、連鎖咖啡店、高鐵、高捷、小港機場、藝文展演空間…，歡迎免費索取。
381,夫妻財產制之原則為何？,高雄市政府法制局,法制,20110214,20130102,1221,夫妻財產制係規範夫妻間財產上之權利義務關係，因以夫妻為規範對象，故修法首重貫徹性別平等原則；又於夫妻內部關係上，注意維護婚姻生活之和諧；於外部關係上，對於財產交易安全之保障亦兼籌並顧。此外，為落實肯定家事勞動價值，除加強保障剩餘財產分配請求權外，更在相關規定彰顯對於家事勞動價值之肯定（如家庭生活費用之分擔方式等）。故即在實現並平衡「貫徹性別平等原則」、「維護婚姻生活和諧」、「保障財產交易安全」及「肯定家事勞動價值」等4大原則。
382,請問我們家前面水溝損壞阻塞，請你們派員疏通。,高雄市政府水利局,水利,20110129,20170104,1221,請你說明詳細住址及地點，本局將派員勘查，如果水溝雜物阻塞，本局將通知環保局派員清疏，如水溝損壞阻塞水流，本局將派員修復。
383,漁船滅失時，應如何辦理註銷漁業執照及保留汰建權??,高雄市政府海洋局,海洋,20110110,20161114,1220,申請人應備證件一、註銷申請書一份。二、漁船滅失原因證明文件。　　 1.解體：漁會、區公所、駐外單位或合格造船廠開具之解體證明。　　 2.沉沒：航政機關簽證之船舶海事報告書。　　 3.擱淺：航政機關簽證之船舶海事報告書，另須檢附漁船滅失或解體證明或漁船已予妥善處理，無影響船隻航行或污染海洋環境之虞相關證明文件。　　 4.毀損：漁船毀損之相片（無法辨識者應檢附航政單位簽證之海事報告或漁會、區公所或駐外單位開具之解體證）。　   5.失蹤：一年以上人、船均完全失去音訊，檢附確定失蹤之文件。　　 6.被外國政府扣押或沒收：檢附判決書或證明文件。三、原有漁業證照正本及原領配油手冊。四、航政機關註銷船籍文件。處理期限四天 承辦單位漁業行政科 受理方式由秘書室統一收發 申請方式1.親自到場辦理2.委託辦理3.郵寄
